2.570634000000000015e+02,-1.898232000000000141e+01,-3.493697000000000230e+01
2.570606999999999971e+02,-1.899634999999999962e+01,-3.487780000000000058e+01
2.570599000000000274e+02,-1.898367000000000004e+01,-3.481757999999999953e+01
2.570600000000000023e+02,-1.895859000000000094e+01,-3.476156000000000290e+01
2.570609000000000037e+02,-1.892644999999999911e+01,-3.470884999999999820e+01
2.570618999999999801e+02,-1.889027000000000100e+01,-3.465894000000000119e+01
2.570634000000000015e+02,-1.885128999999999877e+01,-3.461124000000000223e+01
2.570649999999999977e+02,-1.881009999999999849e+01,-3.456526999999999816e+01
2.570665999999999940e+02,-1.876742000000000132e+01,-3.452087999999999823e+01
2.570686000000000035e+02,-1.872337999999999880e+01,-3.447778999999999883e+01
2.570704999999999814e+02,-1.867814999999999870e+01,-3.443578999999999724e+01
2.570726000000000226e+02,-1.863177999999999912e+01,-3.439473000000000269e+01
2.570745999999999754e+02,-1.858482000000000056e+01,-3.435475000000000279e+01
2.570767999999999915e+02,-1.853707999999999956e+01,-3.431562999999999874e+01
2.570790000000000077e+02,-1.848863000000000056e+01,-3.427729000000000070e+01
2.570813999999999737e+02,-1.843969999999999843e+01,-3.423980000000000246e+01
2.570837000000000216e+02,-1.839010999999999996e+01,-3.420298999999999978e+01
2.570860999999999876e+02,-1.833990000000000009e+01,-3.416680999999999813e+01
2.570885000000000105e+02,-1.828929000000000116e+01,-3.413136999999999688e+01
2.570910000000000082e+02,-1.823829999999999885e+01,-3.409662999999999755e+01
2.570935000000000059e+02,-1.818673000000000073e+01,-3.406246000000000151e+01
2.570962000000000103e+02,-1.813066999999999851e+01,-3.402604999999999791e+01
2.570994000000000028e+02,-1.806506999999999863e+01,-3.398362000000000194e+01
2.571030999999999835e+02,-1.798807000000000045e+01,-3.393392000000000053e+01
2.571073999999999842e+02,-1.789804000000000173e+01,-3.387586000000000297e+01
2.571123999999999796e+02,-1.779290999999999912e+01,-3.380810999999999922e+01
2.571182000000000016e+02,-1.767001000000000133e+01,-3.372894999999999754e+01
2.571247000000000185e+02,-1.752649999999999864e+01,-3.363653999999999655e+01
2.571324000000000183e+02,-1.735894000000000048e+01,-3.352864999999999895e+01
2.571410000000000196e+02,-1.716351999999999833e+01,-3.340285000000000082e+01
2.571508999999999787e+02,-1.693589000000000055e+01,-3.325630999999999915e+01
2.571621000000000095e+02,-1.667094000000000165e+01,-3.308576999999999657e+01
2.571745999999999981e+02,-1.636270000000000024e+01,-3.288738000000000028e+01
2.571888000000000147e+02,-1.600490999999999886e+01,-3.265715000000000146e+01
2.572042999999999893e+02,-1.558972999999999942e+01,-3.239010999999999996e+01
2.572212999999999852e+02,-1.510915999999999926e+01,-3.208127000000000351e+01
