-2.701780353259918854e+01,-6.053038736767797356e-01,8.776996138721663954e+01
-2.701742312395794698e+01,-5.914323629128449555e-01,8.777007785345273305e+01
-2.701784641373750517e+01,-5.742839243480729605e-01,8.777016736544999276e+01
-2.701969681952141400e+01,-5.534576015416888817e-01,8.777019464098557933e+01
-2.702364845758175349e+01,-5.296372606279643458e-01,8.777011410831090643e+01
-2.703036465787915787e+01,-5.034143167214983894e-01,8.776988168515931932e+01
-2.704050091246056198e+01,-4.753797140156105772e-01,8.776945413594832246e+01
-2.705470604615680230e+01,-4.461805233995980169e-01,8.776878881464989490e+01
-2.707362273329052726e+01,-4.165632042586860928e-01,8.776784357526234714e+01
-2.709788803497606580e+01,-3.874167286750894168e-01,8.776657671890045265e+01
-2.712813449446507619e+01,-3.598260652855255759e-01,8.776494687378131232e+01
-2.716499249044093744e+01,-3.351497220372732233e-01,8.776291267484423031e+01
-2.720909511254161472e+01,-3.151461697143358998e-01,8.776043200505976927e+01
-2.726108833401967146e+01,-3.022037394727519755e-01,8.775746027942378191e+01
-2.732134815664177196e+01,-2.937956903586305124e-01,8.775398457486467407e+01
-2.739006766865128384e+01,-2.842227369604399811e-01,8.775001034978042469e+01
-2.746770210178197402e+01,-2.734086367808947760e-01,8.774550705946818141e+01
-2.755468303630785343e+01,-2.612938295786353948e-01,8.774044460980179849e+01
-2.765141655420627131e+01,-2.478225750316941922e-01,8.773479344886135323e+01
-2.775828212967127939e+01,-2.329431989553560900e-01,8.772852458273976595e+01
-2.787563159378108324e+01,-2.166083503580671088e-01,8.772160957583480467e+01
-2.800378817829307820e+01,-1.987752712580873882e-01,8.771402056303881523e+01
-2.814304564107765927e+01,-1.794060805940017045e-01,8.770573026910375347e+01
-2.829366747584749220e+01,-1.584680729538099908e-01,8.769671203506221957e+01
-2.845588620869897056e+01,-1.359340321396332041e-01,8.768693985263378465e+01
-2.862990278647061260e+01,-1.117825588612304938e-01,8.767638843837080742e+01
-2.881588606242798889e+01,-8.599841099050399562e-02,8.766503338866094452e+01
-2.901397236177382766e+01,-5.857285370000279989e-02,8.765285120400409369e+01
-2.922426514362831185e+01,-2.950401662389389931e-02,8.763981935685761471e+01
-2.944683475605902245e+01,1.202746297507300026e-03,8.762591639254429765e+01
-2.968171828590170946e+01,3.353450327025359751e-02,8.761112218173421695e+01
-2.992891950558424341e+01,6.747040837488789411e-02,8.759541818024749205e+01
-3.018840888991721982e+01,1.029813850661591007e-01,8.757878742714443376e+01
-3.046012374134813072e+01,1.400298349979458012e-01,8.756121470933825890e+01
-3.074396844572827447e+01,1.785693807890008922e-01,8.754268705904421211e+01
-3.103981477469500661e+01,2.185446503830194009e-01,8.752319393999181329e+01
-3.134750224879320513e+01,2.598911108347957133e-01,8.750272724581871842e+01
-3.166683866330334496e+01,3.025349619156771919e-01,8.748128187126083333e+01
-3.199760066493013966e+01,3.463930966819364077e-01,8.745885608411629164e+01
-3.233953433378675157e+01,3.913731349474653953e-01,8.743545139789566178e+01
-3.269235598082426009e+01,4.373735421493126219e-01,8.741107333420825398e+01
-3.305575291951344497e+01,4.842838352256733092e-01,8.738573158750050140e+01
-3.342938428022581832e+01,5.319848813365677387e-01,8.735943997818758078e+01
-3.381288204412371101e+01,5.803492999977277744e-01,8.733221723086504085e+01
-3.420585192337091485e+01,6.292419611757251730e-01,8.730408665122251932e+01
-3.460787450889264250e+01,6.785205932713765931e-01,8.727507681732757305e+01
-3.501850636948127260e+01,7.280364891209748501e-01,8.724522159476350680e+01
-3.543728128845037162e+01,7.776352885992200425e-01,8.721456005849337600e+01
-3.586371162608953256e+01,8.271578229829928963e-01,8.718313688110482929e+01
-3.629728951677498117e+01,8.764410247036833468e-01,8.715100184020380425e+01
-3.673748836029890441e+01,9.253189185255651372e-01,8.711821028529658406e+01
-3.718376406745518636e+01,9.736236670581750463e-01,8.708482241934868284e+01
-3.763555664573944171e+01,1.021186683750621604e+00,8.705090360647454872e+01
-3.809229151357827448e+01,1.067839781846961822e+00,8.701652356609315575e+01
-3.855338114310192310e+01,1.113416370219856288e+00,8.698175643764514575e+01
-3.901822644041611454e+01,1.157752664355409689e+00,8.694667992295033798e+01
-3.948621842670862492e+01,1.200688919341603711e+00,8.691137510365028618e+01
-3.995673967296073670e+01,1.242070655000405477e+00,8.687592554746986195e+01
-4.042916600772629465e+01,1.281749875613692247e+00,8.684041690670953528e+01
-4.090286799571265419e+01,1.319586257675392060e+00,8.680493601744610999e+01
-4.137721266053068092e+01,1.355448303578953295e+00,8.676957031292195666e+01
-4.185156494980559927e+01,1.389214441868753536e+00,8.673440697002997979e+01
-4.232528888756191776e+01,1.420774145426137780e+00,8.669953222514492097e+01
-4.279774850996503233e+01,1.450029212846896565e+00,8.666503063890124281e+01
-4.326830947525846227e+01,1.476895059940019683e+00,8.663098426863193424e+01
-4.373634061031493303e+01,1.501301898644046062e+00,8.659747204735265314e+01
-4.420121560404643901e+01,1.523195771839696233e+00,8.656456893174949130e+01
-4.466231461808131797e+01,1.542539438886536551e+00,8.653234548359110079e+01
-4.511902599229134125e+01,1.559313084295763652e+00,8.650086706826728289e+01
-4.557074787516350511e+01,1.573514856240110449e+00,8.647019361319786412e+01
-4.601688988756583143e+01,1.585161210019656597e+00,8.644037881837017778e+01
-4.645687471031732940e+01,1.594287083709580388e+00,8.641147029856993811e+01
-4.689013961115816898e+01,1.600945881549556971e+00,8.638350886219338065e+01
-4.731613842033863904e+01,1.605158631838273342e+00,8.635652990174233423e+01
-4.773434542448448781e+01,1.606601336364658072e+00,8.633056834909143618e+01
-4.814425159771791840e+01,1.604853704077439103e+00,8.630565516162468498e+01
-4.854536570884447855e+01,1.599581396309095904e+00,8.628181317101126524e+01
-4.893722090332516927e+01,1.590537190692042024e+00,8.625905746972459553e+01
-4.931937915148571960e+01,1.577559112318179135e+00,8.623739501128507356e+01
-4.969143510111523909e+01,1.560567000522919301e+00,8.621682494140773656e+01
-5.005301953365339784e+01,1.539557670395532929e+00,8.619733931118753389e+01
